Filename	WER	PESQ	stretch
common_voice_ca_30855397.wav	0.42857142857142855	1.5907	1.02
common_voice_ca_31261312.wav	0.375	2.0224	1.02
upc_ca_pau_101094.wav	0.2	1.7845	1.02
upc_ca_pau_101076.wav	0.14285714285714285	1.8782	1.02
upc_ca_ona_100032.wav	0.0	1.6981	1.02
upc_ca_pau_101034.wav	0.0	2.0518	1.02
common_voice_ca_31783620.wav	0.2857142857142857	2.3276	1.02
common_voice_ca_31168000.wav	0.0	1.5030	1.02
common_voice_ca_18179316.wav	1.0	2.0771	1.02
upc_ca_pau_101134.wav	0.10526315789473684	1.6663	1.02
common_voice_ca_31225995.wav	0.3333333333333333	1.5898	1.02
common_voice_ca_30768701.wav	1	1.5966	1.02
common_voice_ca_28791268.wav	0.0	1.8289	1.02
upc_ca_ona_100041.wav	0.1875	1.8982	1.02
common_voice_ca_31471261.wav	0.21428571428571427	2.2344	1.02
common_voice_ca_19290202.wav	0.6666666666666666	2.4769	1.02
upc_ca_pau_101082.wav	0.07894736842105263	2.0643	1.02
upc_ca_pau_101091.wav	0.06666666666666667	1.7304	1.02
common_voice_ca_31319263.wav	0.0	1.9133	1.02
upc_ca_pau_101097.wav	0.08333333333333333	1.7193	1.02
common_voice_ca_19908846.wav	0.0	2.1695	1.02
upc_ca_ona_100026.wav	0.07407407407407407	1.6195	1.02
upc_ca_ona_100091.wav	0.06451612903225806	1.7381	1.02
common_voice_ca_31342983.wav	0.42857142857142855	1.8942	1.02
upc_ca_ona_100016.wav	0.0	1.7343	1.02
common_voice_ca_31085491.wav	0.0	1.2658	1.02
upc_ca_pau_101056.wav	0.0425531914893617	1.7596	1.02
common_voice_ca_31434512.wav	0.09090909090909091	1.8249	1.02
upc_ca_pau_101018.wav	0.0	1.9421	1.02
upc_ca_pau_101054.wav	0.14285714285714285	1.7973	1.02
upc_ca_pau_101014.wav	0.07142857142857142	1.8927	1.02
common_voice_ca_31302556.wav	0.09090909090909091	1.9245	1.02
common_voice_ca_31750472.wav	0.4	1.8234	1.02
upc_ca_ona_100064.wav	0.03225806451612903	1.8048	1.02
upc_ca_ona_100044.wav	0.047619047619047616	1.4762	1.02
upc_ca_ona_100097.wav	0.08695652173913043	1.5056	1.02
upc_ca_pau_101084.wav	0.13043478260869565	1.9767	1.02
upc_ca_pau_101062.wav	0.0	1.7303	1.02
common_voice_ca_31340504.wav	0.0	1.9038	1.02
common_voice_ca_31497154.wav	0.0	1.9356	1.02
common_voice_ca_30828394.wav	0.05263157894736842	1.7740	1.02
common_voice_ca_19911316.wav	0.1	1.6583	1.02
upc_ca_ona_100014.wav	0.0967741935483871	1.4742	1.02
upc_ca_ona_100098.wav	0.17073170731707318	1.5595	1.02
upc_ca_pau_101000.wav	0.0	1.7510	1.02
upc_ca_ona_100067.wav	0.038461538461538464	1.9096	1.02
upc_ca_pau_101066.wav	0.034482758620689655	1.7457	1.02
upc_ca_ona_100051.wav	0.26666666666666666	1.6730	1.02
upc_ca_ona_100065.wav	0.17647058823529413	1.8999	1.02
upc_ca_ona_100057.wav	0.043478260869565216	1.7382	1.02
common_voice_ca_31814500.wav	0.2222222222222222	1.4870	1.02
common_voice_ca_20502079.wav	0.0	1.3317	1.02
common_voice_ca_30763773.wav	0.09090909090909091	1.8066	1.02
upc_ca_ona_100053.wav	0.0	1.6203	1.02
common_voice_ca_31132759.wav	0.0	1.7750	1.02
upc_ca_ona_100094.wav	0.1	1.4156	1.02
common_voice_ca_30882479.wav	0.2857142857142857	1.5289	1.02
common_voice_ca_30935636.wav	0.10526315789473684	1.8178	1.02
common_voice_ca_31056644.wav	0.25	1.7611	1.02
common_voice_ca_19503277.wav	0.9	1.8404	1.02
common_voice_ca_30816592.wav	0.0	2.1236	1.02
upc_ca_ona_100099.wav	0.16216216216216217	1.6501	1.02
upc_ca_ona_100073.wav	0.03225806451612903	1.7830	1.02
upc_ca_ona_100089.wav	0.03571428571428571	1.4183	1.02
common_voice_ca_31089514.wav	0.2857142857142857	1.8811	1.02
upc_ca_pau_101002.wav	0.125	1.7222	1.02
common_voice_ca_31325506.wav	0.08333333333333333	1.8841	1.02
common_voice_ca_31719365.wav	0.3	1.8410	1.02
upc_ca_ona_100081.wav	0.04	1.5593	1.02
common_voice_ca_30886880.wav	0.8333333333333334	1.9602	1.02
upc_ca_ona_100004.wav	0.03225806451612903	1.7305	1.02
common_voice_ca_31402794.wav	0.09090909090909091	1.4388	1.02
