Filename	WER	PESQ	bitrate
common_voice_ca_31402794.wav	0.09090909090909091	2.6156	24
common_voice_ca_31222392.wav	0.2	3.0169	24
upc_ca_pau_101100.wav	0.0	2.7202	24
upc_ca_pau_101001.wav	0.0	3.0231	24
upc_ca_ona_100035.wav	0.03125	2.2738	24
upc_ca_pau_101085.wav	0.0	2.9519	24
common_voice_ca_31340621.wav	0.0	1.7683	24
upc_ca_ona_100075.wav	0.1	2.3237	24
common_voice_ca_30976359.wav	0.0	2.6310	24
common_voice_ca_31135103.wav	0.0	2.7559	24
upc_ca_ona_100003.wav	0.0	2.2100	24
common_voice_ca_31507051.wav	0.4444444444444444	2.6331	24
upc_ca_ona_100104.wav	0.043478260869565216	2.4452	24
upc_ca_ona_100063.wav	0.0	2.3954	24
upc_ca_pau_101009.wav	0.08695652173913043	2.9686	24
upc_ca_ona_100001.wav	0.02631578947368421	2.2765	24
upc_ca_pau_101064.wav	0.03333333333333333	2.7761	24
common_voice_ca_31420992.wav	0.13333333333333333	2.2026	24
common_voice_ca_30798361.wav	0.0	1.9309	24
common_voice_ca_30858097.wav	0.0	3.4829	24
upc_ca_ona_100037.wav	0.0	2.6102	24
upc_ca_ona_100010.wav	0.0	3.5841	24
upc_ca_pau_101030.wav	0.0	2.7231	24
upc_ca_pau_101103.wav	0.0	2.9606	24
common_voice_ca_31083168.wav	0.0	2.6850	24
upc_ca_ona_100030.wav	0.08	2.3534	24
common_voice_ca_30828399.wav	0.4	2.2755	24
common_voice_ca_30871150.wav	0.0	2.1314	24
upc_ca_ona_100082.wav	0.1111111111111111	2.4060	24
common_voice_ca_28791267.wav	0.4	2.5755	24
upc_ca_pau_101048.wav	0.0	2.7383	24
common_voice_ca_31811352.wav	0.23076923076923078	2.3871	24
upc_ca_pau_101039.wav	0.0	2.9649	24
common_voice_ca_20227727.wav	0.0	2.6775	24
common_voice_ca_31721010.wav	0.0	2.5525	24
upc_ca_ona_100074.wav	0.03571428571428571	2.3861	24
upc_ca_ona_100028.wav	0.024390243902439025	2.4884	24
upc_ca_ona_100059.wav	0.0	2.2932	24
common_voice_ca_31074096.wav	0.0	3.4383	24
upc_ca_ona_100068.wav	0.0	2.9540	24
upc_ca_ona_100102.wav	0.0	3.0547	24
upc_ca_ona_100092.wav	0.0	2.4695	24
common_voice_ca_30816683.wav	0.0	3.8444	24
upc_ca_pau_101006.wav	0.06666666666666667	2.9870	24
upc_ca_pau_101072.wav	0.10344827586206896	3.0945	24
upc_ca_pau_101012.wav	0.0	2.9994	24
common_voice_ca_31173901.wav	0.14285714285714285	2.6112	24
upc_ca_pau_101073.wav	0.03225806451612903	2.8725	24
upc_ca_ona_100043.wav	0.0	2.5256	24
common_voice_ca_31168100.wav	0.09090909090909091	2.4780	24
common_voice_ca_31792897.wav	0.0	2.6563	24
common_voice_ca_30858248.wav	0.0	2.7753	24
upc_ca_ona_100049.wav	0.0	2.7187	24
common_voice_ca_31056631.wav	0.14285714285714285	2.6582	24
common_voice_ca_30957984.wav	0.0	1.9348	24
upc_ca_pau_101021.wav	0.12903225806451613	3.2119	24
upc_ca_ona_100066.wav	0.0	2.4102	24
common_voice_ca_31149065.wav	0.0	2.4302	24
common_voice_ca_20325542.wav	0.0	3.0106	24
common_voice_ca_30957086.wav	0.0	2.7107	24
common_voice_ca_31340503.wav	0.0	3.3410	24
upc_ca_pau_101007.wav	0.0	3.0211	24
common_voice_ca_19937250.wav	0.0	2.6046	24
common_voice_ca_30783842.wav	0.1111111111111111	4.1319	24
upc_ca_ona_100061.wav	0.0	2.8268	24
common_voice_ca_31261336.wav	0.1	2.7781	24
common_voice_ca_31325473.wav	0.0	2.6863	24
common_voice_ca_18489699.wav	0.0	1.8638	24
upc_ca_pau_101080.wav	0.0	2.8062	24
upc_ca_ona_100036.wav	0.0	2.3863	24
upc_ca_pau_101019.wav	0.0	2.7755	24
common_voice_ca_31325807.wav	0.0	3.5618	24
common_voice_ca_31351008.wav	0.0	3.3957	24
upc_ca_ona_100079.wav	0.0	2.3522	24
upc_ca_pau_101008.wav	0.0	3.0780	24
upc_ca_ona_100084.wav	0.0	2.4591	24
upc_ca_ona_100024.wav	0.0	2.3505	24
common_voice_ca_31121143.wav	0.2857142857142857	2.4832	24
common_voice_ca_31292778.wav	0.13333333333333333	2.8858	24
upc_ca_ona_100085.wav	0.0	2.5339	24
common_voice_ca_31391614.wav	0.18181818181818182	2.6728	24
common_voice_ca_31337809.wav	0.0	2.6769	24
common_voice_ca_31339338.wav	0.07142857142857142	3.1728	24
common_voice_ca_31340683.wav	0.0	3.2847	24
common_voice_ca_31760199.wav	0.125	2.8931	24
common_voice_ca_31345308.wav	0.0	2.2563	24
common_voice_ca_31239887.wav	0.25	1.9912	24
upc_ca_ona_100022.wav	0.07692307692307693	2.2819	24
upc_ca_pau_101087.wav	0.0	2.8607	24
common_voice_ca_20170673.wav	0.0	4.2447	24
upc_ca_ona_100070.wav	0.0	2.7028	24
upc_ca_ona_100031.wav	0.03636363636363636	2.2854	24
upc_ca_pau_101102.wav	0.04	3.2131	24
upc_ca_pau_101016.wav	0.15789473684210525	2.7010	24
common_voice_ca_31820637.wav	0.2	2.9195	24
upc_ca_ona_100058.wav	0.045454545454545456	2.3546	24
upc_ca_pau_101011.wav	0.045454545454545456	2.9918	24
upc_ca_pau_101088.wav	0.0	2.9269	24
upc_ca_pau_101104.wav	0.0	3.0092	24
common_voice_ca_31351009.wav	0.0	3.6037	24
common_voice_ca_30806019.wav	0.16666666666666666	2.4291	24
common_voice_ca_30899625.wav	0.0	3.2770	24
common_voice_ca_31297951.wav	0.09090909090909091	2.9978	24
common_voice_ca_31315526.wav	0.0	1.4448	24
upc_ca_ona_100046.wav	0.0	2.3352	24
upc_ca_ona_100020.wav	0.0	2.2092	24
common_voice_ca_31159651.wav	0.09090909090909091	2.0856	24
upc_ca_pau_101071.wav	0.15384615384615385	3.1034	24
upc_ca_pau_101105.wav	0.0	2.7342	24
upc_ca_pau_101081.wav	0.08333333333333333	2.8533	24
common_voice_ca_31107623.wav	0.0	3.0191	24
common_voice_ca_30783618.wav	0.1	3.9964	24
common_voice_ca_30788569.wav	0.0	1.5239	24
common_voice_ca_31320917.wav	0.07692307692307693	2.7918	24
common_voice_ca_31308015.wav	0.0	1.8275	24
common_voice_ca_31257236.wav	0.125	4.2133	24
common_voice_ca_31192759.wav	0.0	2.5761	24
common_voice_ca_31497486.wav	0.0	2.9762	24
upc_ca_pau_101074.wav	0.03571428571428571	2.6343	24
common_voice_ca_31634015.wav	0.0	2.4578	24
upc_ca_pau_101005.wav	0.0	2.9478	24
upc_ca_ona_100023.wav	0.030303030303030304	2.1664	24
common_voice_ca_31809241.wav	0.09090909090909091	3.0829	24
common_voice_ca_31352054.wav	0.125	3.2959	24
upc_ca_pau_101043.wav	0.0	2.8180	24
common_voice_ca_31226001.wav	0.0	3.8424	24
upc_ca_ona_100083.wav	0.07407407407407407	2.6509	24
common_voice_ca_31324791.wav	0.07142857142857142	3.5223	24
common_voice_ca_31063225.wav	0.0	2.7450	24
