Filename	WER	PESQ	timepercentage
upc_ca_ona_100098.wav	0.024390243902439025	4.2409	1
upc_ca_pau_101000.wav	0.0	4.2730	1
upc_ca_ona_100067.wav	0.0	4.2399	1
upc_ca_pau_101066.wav	0.034482758620689655	4.2488	1
upc_ca_ona_100051.wav	0.0	4.5189	1
upc_ca_ona_100065.wav	0.058823529411764705	4.0757	1
upc_ca_ona_100057.wav	0.0	4.1300	1
common_voice_ca_31814500.wav	0.0	3.7891	1
common_voice_ca_20502079.wav	0.0	3.7556	1
common_voice_ca_30763773.wav	0.0	4.0700	1
upc_ca_ona_100053.wav	0.034482758620689655	4.4174	1
common_voice_ca_31132759.wav	0.0	3.7089	1
upc_ca_ona_100094.wav	0.0	3.9663	1
common_voice_ca_30882479.wav	0.0	3.3438	1
common_voice_ca_30935636.wav	0.05263157894736842	3.9573	1
common_voice_ca_31056644.wav	0.0	3.6456	1
common_voice_ca_19503277.wav	0.7	4.1386	1
common_voice_ca_30816592.wav	0.0	3.9561	1
upc_ca_ona_100099.wav	0.0	4.2041	1
upc_ca_ona_100073.wav	0.0967741935483871	4.2524	1
upc_ca_ona_100089.wav	0.03571428571428571	4.1615	1
common_voice_ca_31089514.wav	0.0	3.7937	1
upc_ca_pau_101002.wav	0.041666666666666664	4.0838	1
common_voice_ca_31325506.wav	0.0	3.9755	1
common_voice_ca_31719365.wav	0.0	4.4569	1
upc_ca_ona_100081.wav	0.0	4.1580	1
common_voice_ca_30886880.wav	0.0	4.0522	1
upc_ca_ona_100004.wav	0.0	4.4757	1
common_voice_ca_31402794.wav	0.0	4.0750	1
common_voice_ca_31222392.wav	0.0	3.9521	1
upc_ca_pau_101100.wav	0.0	4.5509	1
upc_ca_pau_101001.wav	0.0	4.4997	1
upc_ca_ona_100035.wav	0.09375	4.1671	1
upc_ca_pau_101085.wav	0.0	4.2518	1
common_voice_ca_31340621.wav	0.0	3.6560	1
upc_ca_ona_100075.wav	0.0	3.9640	1
common_voice_ca_30976359.wav	0.0	3.7584	1
common_voice_ca_31135103.wav	0.0	4.3847	1
